Environment                   Seed          Algorithm  Error  Amount    Episode  Reward  Feedback
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      180      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      181      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      182      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      183      72      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      184      72      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      185      83      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      186      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      187      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      188      83      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      189      78      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      190      80      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      191      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      192      84      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      193      85      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      194      -27     0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      195      82      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      196      77      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      197      82      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      198      84      0.0000
MountainCarContinuous-v0      js61592       DCOACH     0      0.09      199      84      0.0000
