Environment              	  Seed       Control  Tau    Error Q_bias    Episode  Reward  Gain   Feedback
Pendulum-v0                   185611103  kalman   0.5    0     0.2       90       -252    2.7892 0.0050
Pendulum-v0                   185611103  kalman   0.5    0     0.2       91       0       2.9130 0.0300
Pendulum-v0                   185611103  kalman   0.5    0     0.2       92       -241    2.7658 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       93       -120    2.9011 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       94       0       2.8975 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       95       -123    2.6843 0.0000
Pendulum-v0                   185611103  kalman   0.5    0     0.2       96       -121    2.8962 0.0200
Pendulum-v0                   185611103  kalman   0.5    0     0.2       97       -122    2.9493 0.0100
Pendulum-v0                   185611103  kalman   0.5    0     0.2       98       -247    2.6652 0.0000
Pendulum-v0                   341002883  kalman   0.5    0     0.2       0        -1023   2.5844 0.2950
Pendulum-v0                   341002883  kalman   0.5    0     0.2       1        -1177   2.9897 0.2850
Pendulum-v0                   341002883  kalman   0.5    0     0.2       2        -1267   2.9878 0.3200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       3        -1084   2.9853 0.2350
Pendulum-v0                   341002883  kalman   0.5    0     0.2       4        -1623   2.9972 0.2200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       5        -1569   2.9972 0.1950
Pendulum-v0                   341002883  kalman   0.5    0     0.2       6        -1177   2.9839 0.2300
Pendulum-v0                   341002883  kalman   0.5    0     0.2       7        -1366   2.9030 0.2400
Pendulum-v0                   341002883  kalman   0.5    0     0.2       8        -1362   2.6587 0.2350
Pendulum-v0                   341002883  kalman   0.5    0     0.2       9        -1559   2.4248 0.1300
Pendulum-v0                   341002883  kalman   0.5    0     0.2       10       -1611   1.7352 0.1950
Pendulum-v0                   341002883  kalman   0.5    0     0.2       11       -1476   1.7955 0.1500
Pendulum-v0                   341002883  kalman   0.5    0     0.2       12       -1000   1.6077 0.1550
Pendulum-v0                   341002883  kalman   0.5    0     0.2       13       -1160   1.2919 0.1200
Pendulum-v0                   341002883  kalman   0.5    0     0.2       14       -537    2.2339 0.1100
Pendulum-v0                   341002883  kalman   0.5    0     0.2       15       -951    1.3360 0.1300
